,Symbol,Owner,Relationship,Date,Cost,Number of Shares,Value,Total Shares,Filing,Type,Current_Price,200_Moving_Average
20,WTFC,SWEENEY GARY D,Director,"Jul 23, 2020",$44.66,785,35058,6433,"Jul 24, 2020, 04:13 PM",buy,44.650001525878906,52.82360011100769
21,CASI,Zhang Larry,President,"Jul 22, 2020",$1.90,20153,38291,20153,"Jul 24, 2020, 04:05 PM",buy,1.940000057220459,2.5572500050067903
22,CASI,He Wei-Wu,Chairman and CEO,"Jul 22, 2020",$1.90,1200000,2280000,7532347,"Jul 24, 2020, 04:03 PM",buy,1.940000057220459,2.5572500050067903
23,CASI,He Wei-Wu,Chairman and CEO,"Jul 22, 2020",$1.90,2952426,5609609,4836523,"Jul 24, 2020, 04:03 PM",buy,1.940000057220459,2.5572500050067903
24,ASA,Merk Alexander,COO,"Jul 24, 2020",$22.14,1270,28124,13355,"Jul 24, 2020, 03:44 PM",buy,22.31999969482422,13.784450011253357
25,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,50,65,9384,"Jul 24, 2020, 03:31 PM",buy,1.2649999856948853,1.4298750007152556
26,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,200,258,9334,"Jul 24, 2020, 03:31 PM",buy,1.2649999856948853,1.4298750007152556
27,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,100,129,9684,"Jul 24, 2020, 03:31 PM",buy,1.2649999856948853,1.4298750007152556
28,RCG,STAHL MURRAY,President and CEO,"Jul 23, 2020",$1.29,200,258,9584,"Jul 24, 2020, 03:31 PM",buy,1.2649999856948853,1.4298750007152556
29,FLUX,Cosentino John A Jr,Director,"Jul 24, 2020",$4.00,62500,250000,62500,"Jul 24, 2020, 02:32 PM",buy,8.199999809265137,8.516499495506286
30,RKFL,Rouf Henrik,10% Owner,"Apr 20, 2020",$4.00,15625,62500,2752418,"Jul 24, 2020, 01:19 PM",buy,2.9000000953674316,3.7285500061511994
31,RKFL,Rouf Henrik,10% Owner,"May 18, 2020",$4.00,36250,145000,2716168,"Jul 24, 2020, 01:19 PM",buy,2.9000000953674316,3.7285500061511994
32,RKFL,Rouf Henrik,10% Owner,"May 18, 2020",$4.00,36250,145000,2716168,"Jul 24, 2020, 11:27 AM",buy,2.9000000953674316,3.7285500061511994
33,RKFL,Rouf Henrik,10% Owner,"Apr 20, 2020",$4.00,15625,62500,2752418,"Jul 24, 2020, 11:27 AM",buy,2.9000000953674316,3.7285500061511994
34,TPL,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,"Jul 23, 2020",$568.80,14,7963,282849,"Jul 24, 2020, 11:16 AM",buy,560.02001953125,618.8715007019043
35,RZLT,"HANDOK, INC.",10% Owner,"Jul 23, 2020",$0.30,187000,56511,93714587,"Jul 24, 2020, 10:01 AM",buy,0.3199999928474426,0.11643000010401011
36,RZLT,"HANDOK, INC.",10% Owner,"Jul 22, 2020",$0.28,250000,70750,93527587,"Jul 24, 2020, 10:01 AM",buy,0.3199999928474426,0.11643000010401011
37,EVF,"Saba Capital Management, L.P.",10% Owner,"Jul 22, 2020",$5.42,32732,177407,6191531,"Jul 24, 2020, 09:44 AM",buy,5.510000228881836,5.720899987220764
38,EVF,"Saba Capital Management, L.P.",10% Owner,"Jul 23, 2020",$5.48,87299,478399,6278830,"Jul 24, 2020, 09:44 AM",buy,5.510000228881836,5.720899987220764
39,CMGO,LAKEN GLENN B,CEO,"Jul 08, 2020",$0.01,20000,125,11940000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
40,CMGO,LAKEN GLENN B,CEO,"Jun 10, 2020",$0.00,355000,1301,11855000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
41,CMGO,LAKEN GLENN B,CEO,"Jul 14, 2020",$0.01,10000,55,11980000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
42,CMGO,LAKEN GLENN B,CEO,"Jun 26, 2020",$0.00,30000,136,11920000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
43,CMGO,LAKEN GLENN B,CEO,"Jul 17, 2020",$0.01,200000,1080,12263800,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
44,CMGO,LAKEN GLENN B,CEO,"Jul 13, 2020",$0.01,10000,57,11970000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
45,CMGO,LAKEN GLENN B,CEO,"Jun 15, 2020",$0.00,10000,45,11890000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
46,CMGO,LAKEN GLENN B,CEO,"Jul 16, 2020",$0.01,72000,387,12063800,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
47,CMGO,LAKEN GLENN B,CEO,"Jul 10, 2020",$0.01,20000,116,11960000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
48,CMGO,LAKEN GLENN B,CEO,"Jun 12, 2020",$0.00,20000,84,11875000,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
49,CMGO,LAKEN GLENN B,CEO,"Jul 15, 2020",$0.01,11800,65,11991800,"Jul 24, 2020, 09:16 AM",buy,0.006000000052154064,0.0055593500193208455
50,NTIC,Calderon Nancy E.,Director,"Jul 23, 2020",$8.60,1000,8600,1000,"Jul 24, 2020, 08:07 AM",buy,8.425000190734863,10.443624992370605
51,VOLT,GOODMAN BRUCE G,Director,"Jul 23, 2020",$1.46,5000,7300,122778,"Jul 23, 2020, 07:02 PM",buy,1.4600000381469727,1.8150999957323075
52,LEVI,McCormick Christopher J,Director,"Jul 22, 2020",$11.92,3786,45129,60115,"Jul 23, 2020, 05:58 PM",buy,12.329999923706055,15.818499975204467
53,NGM,COLUMN GROUP L P,Director,"Jul 22, 2020",$18.00,193,3474,1540264,"Jul 23, 2020, 05:44 PM",buy,17.90999984741211,16.994925022125244
54,NGM,COLUMN GROUP L P,Director,"Jul 22, 2020",$18.00,193,3474,1540264,"Jul 23, 2020, 05:39 PM",buy,17.90999984741211,16.994925022125244
55,ONCT,KISNER DANIEL L,Director,"Jul 21, 2020",$2.38,10000,23825,10000,"Jul 23, 2020, 05:00 PM",buy,2.9000000953674316,3.7757000029087067
56,ONCT,AKER HAZEL M,Legal Counsel,"Jul 21, 2020",$2.38,41972,99998,46987,"Jul 23, 2020, 05:00 PM",buy,2.9000000953674316,3.7757000029087067
57,JAMF,STROSAHL JOHN,Chief Operating Officer,"Jul 21, 2020",$26.00,7692,199992,68192,"Jul 23, 2020, 04:59 PM",buy,39.70000076293945,39.59333419799805
58,JAMF,PUTMAN JILL,Chief Financial Officer,"Jul 21, 2020",$26.00,11538,299988,75342,"Jul 23, 2020, 04:59 PM",buy,39.70000076293945,39.59333419799805
59,JAMF,LENDINO JEFF,General Counsel,"Jul 21, 2020",$26.00,3846,99996,3846,"Jul 23, 2020, 04:58 PM",buy,39.70000076293945,39.59333419799805
60,JAMF,KLAUSMEYER KEVIN,Director,"Jul 21, 2020",$26.00,9615,249990,27875,"Jul 23, 2020, 04:58 PM",buy,39.70000076293945,39.59333419799805
61,JAMF,JOHNSON SAMUEL GFALL,Chief Customer Officer,"Jul 21, 2020",$26.00,7692,199992,194485,"Jul 23, 2020, 04:58 PM",buy,39.70000076293945,39.59333419799805
62,JAMF,HAGER DEAN,"Chief Exec Officer, Director","Jul 21, 2020",$26.00,3846,99996,90728,"Jul 23, 2020, 04:57 PM",buy,39.70000076293945,39.59333419799805
63,JAMF,GOODKIND IAN,Chief Accounting Officer,"Jul 21, 2020",$26.00,3846,99996,3846,"Jul 23, 2020, 04:57 PM",buy,39.70000076293945,39.59333419799805
64,JAMF,DURAND ANDRE WONG,Director,"Jul 21, 2020",$26.00,13461,349986,84081,"Jul 23, 2020, 04:56 PM",buy,39.70000076293945,39.59333419799805
65,JAMF,ATKINS BETSY S,Director,"Jul 21, 2020",$26.00,1923,49998,1923,"Jul 23, 2020, 04:56 PM",buy,39.70000076293945,39.59333419799805
66,PAND,ROCHE HOLDING LTD,10% Owner,"Jul 21, 2020",$18.00,36111,649998,3086084,"Jul 23, 2020, 04:50 PM",buy,17.850000381469727,17.924999872843426
67,PAND,Mutz Mitchell,Director,"Jul 21, 2020",$18.00,10000,180000,10000,"Jul 23, 2020, 04:49 PM",buy,17.850000381469727,17.924999872843426
68,PAND,Mutz Mitchell,Director,"Jul 21, 2020",$18.00,36111,649998,3086084,"Jul 23, 2020, 04:49 PM",buy,17.850000381469727,17.924999872843426
69,ONCT,Shanghai Pharmaceutical (USA) Inc.,10% Owner,"Jul 21, 2020",$2.38,1049317,2499998,3544431,"Jul 23, 2020, 04:32 PM",buy,2.9000000953674316,3.7757000029087067
70,RCG,STAHL MURRAY,President and CEO,"Jul 22, 2020",$1.29,200,258,9134,"Jul 23, 2020, 04:09 PM",buy,1.2649999856948853,1.4298750007152556
71,RCG,STAHL MURRAY,President and CEO,"Jul 22, 2020",$1.29,200,258,8934,"Jul 23, 2020, 04:09 PM",buy,1.2649999856948853,1.4298750007152556
72,RCG,STAHL MURRAY,President and CEO,"Jul 22, 2020",$1.29,100,129,8734,"Jul 23, 2020, 04:09 PM",buy,1.2649999856948853,1.4298750007152556
73,RCG,STAHL MURRAY,President and CEO,"Jul 22, 2020",$1.29,50,64,8634,"Jul 23, 2020, 04:09 PM",buy,1.2649999856948853,1.4298750007152556
74,SHRG,DOCUMENT SECURITY SYSTEMS INC,10% Owner,"Jul 21, 2020",$0.08,11000000,880000,32417593,"Jul 23, 2020, 04:08 PM",buy,0.21199999749660492,0.09836035063490271
75,BATRA,"GAMCO INVESTORS, INC. ET AL",10% Owner,"Jul 21, 2020",$19.58,600,11751,2000,"Jul 23, 2020, 04:06 PM",buy,19.09000015258789,24.28095004081726
76,VABK,Payne Susan K,Director,"Jul 20, 2020",$25.35,182,4614,16683,"Jul 23, 2020, 03:22 PM",buy,25.25,31.556600093841553
77,TPL,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,"Jul 22, 2020",$573.82,12,6886,282835,"Jul 23, 2020, 12:06 PM",buy,560.02001953125,618.8715007019043
78,SPE,GOLDSTEIN PHILLIP,Chairman and Secretary,"Jul 22, 2020",$11.80,5000,59000,123721,"Jul 23, 2020, 11:51 AM",buy,11.84000015258789,12.5485999751091
79,SPE,GOLDSTEIN PHILLIP,Chairman and Secretary,"Jul 21, 2020",$11.85,5000,59250,118721,"Jul 23, 2020, 11:51 AM",buy,11.84000015258789,12.5485999751091
80,CNBKA,Filler James J,10% Owner,"Jul 16, 2020",$77.49,600,46494,827105,"Jul 23, 2020, 10:31 AM",buy,74.97000122070312,78.15489994049072
81,CNBKA,Filler James J,10% Owner,"Jul 21, 2020",$77.91,413,32178,827824,"Jul 23, 2020, 10:31 AM",buy,74.97000122070312,78.15489994049072
82,CNBKA,Filler James J,10% Owner,"Jul 20, 2020",$76.95,106,8157,827411,"Jul 23, 2020, 10:31 AM",buy,74.97000122070312,78.15489994049072
83,CNBKA,Filler James J,10% Owner,"Jul 17, 2020",$76.15,200,15231,827305,"Jul 23, 2020, 10:31 AM",buy,74.97000122070312,78.15489994049072
84,CNBKA,Filler James J,10% Owner,"Jul 22, 2020",$76.75,100,7675,827924,"Jul 23, 2020, 10:31 AM",buy,74.97000122070312,78.15489994049072
85,BTN,"Fundamental Global Investors, LLC",Director,"Jul 21, 2020",$1.66,4126,6852,1959067,"Jul 22, 2020, 09:41 PM",buy,1.6100000143051147,2.327349994182587
86,BTN,"Fundamental Global Investors, LLC",Director,"Jul 22, 2020",$1.64,455,746,147177,"Jul 22, 2020, 09:41 PM",buy,1.6100000143051147,2.327349994182587
87,BTN,"Fundamental Global Investors, LLC",Director,"Jul 20, 2020",$1.59,595,948,144501,"Jul 22, 2020, 09:41 PM",buy,1.6100000143051147,2.327349994182587
88,BTN,"Fundamental Global Investors, LLC",Director,"Jul 22, 2020",$1.64,845,1386,1959912,"Jul 22, 2020, 09:41 PM",buy,1.6100000143051147,2.327349994182587
89,BTN,"Fundamental Global Investors, LLC",Director,"Jul 20, 2020",$1.59,1105,1760,1954941,"Jul 22, 2020, 09:41 PM",buy,1.6100000143051147,2.327349994182587
90,BTN,"Fundamental Global Investors, LLC",Director,"Jul 21, 2020",$1.66,2221,3688,146722,"Jul 22, 2020, 09:41 PM",buy,1.6100000143051147,2.327349994182587
91,BKTI,"Fundamental Global Investors, LLC",Director,"Jul 22, 2020",$3.21,444,1427,1356915,"Jul 22, 2020, 09:40 PM",buy,3.190000057220459,2.837149996161461
92,BKTI,"Fundamental Global Investors, LLC",Director,"Jul 21, 2020",$3.30,2233,7371,1356471,"Jul 22, 2020, 09:40 PM",buy,3.190000057220459,2.837149996161461
93,BKTI,"Fundamental Global Investors, LLC",Director,"Jul 20, 2020",$3.32,289,961,1354238,"Jul 22, 2020, 09:40 PM",buy,3.190000057220459,2.837149996161461
94,BAC,BERKSHIRE HATHAWAY INC,10% Owner,"Jul 21, 2020",$24.23,11116449,269308215,968502964,"Jul 22, 2020, 08:20 PM",buy,24.350000381469727,28.257799997329712
95,BAC,BERKSHIRE HATHAWAY INC,10% Owner,"Jul 20, 2020",$23.51,9626515,226324180,957386515,"Jul 22, 2020, 08:20 PM",buy,24.350000381469727,28.257799997329712
96,BAC,BERKSHIRE HATHAWAY INC,10% Owner,"Jul 22, 2020",$24.14,13159659,317695219,981662623,"Jul 22, 2020, 08:20 PM",buy,24.350000381469727,28.257799997329712
97,SCHW,Ruffel Charles A.,Director,"Jul 22, 2020",$34.91,2854,99633,5409,"Jul 22, 2020, 06:51 PM",buy,34.939998626708984,40.24314990997314
98,IVFH,Pappas James C,Director,"Jul 20, 2020",$0.30,7471,2228,102983,"Jul 22, 2020, 06:22 PM",buy,0.3199000060558319,0.4128725001960993
99,IVFH,Pappas James C,Director,"Jul 20, 2020",$0.30,129252,38543,4384180,"Jul 22, 2020, 06:22 PM",buy,0.3199000060558319,0.4128725001960993
100,FREQ,MARCUS JOEL S,Director,"Jul 20, 2020",$18.00,55555,999990,1011730,"Jul 22, 2020, 06:12 PM",buy,22.479999542236328,18.81377496242523
101,AUBN,Barrett J Tutt,Director,"Jul 22, 2020",$62.69,24,1505,7153,"Jul 22, 2020, 05:47 PM",buy,46.970001220703125,48.504350137710574
102,AUBN,O'DONNELL SHANNON,Senior Vice President,"Jul 22, 2020",$62.39,9,562,1005,"Jul 22, 2020, 05:29 PM",buy,46.970001220703125,48.504350137710574
103,UBFO,Woolf Michael T,Director,"Jul 20, 2020",$6.99,1000,6990,230188,"Jul 22, 2020, 05:06 PM",buy,6.699999809265137,8.32755000591278
104,FDX,Ellison Marvin R,Director,"Jul 22, 2020",$164.53,2200,361966,4401,"Jul 22, 2020, 04:58 PM",buy,165.0399932861328,142.01734977722168
105,NWFL,FORTE ANDREW,Director,"Jul 22, 2020",$29.14,315,9179,3731,"Jul 22, 2020, 04:56 PM",buy,25.270000457763672,29.938599977493286
106,AUBN,HAM WILLIAM F JR,Director,"Jul 22, 2020",$63.11,18,1136,3851,"Jul 22, 2020, 04:55 PM",buy,46.970001220703125,48.504350137710574
107,RCG,STAHL MURRAY,President and CEO,"Jul 21, 2020",$1.29,200,258,8584,"Jul 22, 2020, 04:47 PM",buy,1.2649999856948853,1.4298750007152556
108,RCG,STAHL MURRAY,President and CEO,"Jul 21, 2020",$1.29,200,258,8384,"Jul 22, 2020, 04:47 PM",buy,1.2649999856948853,1.4298750007152556
109,RCG,STAHL MURRAY,President and CEO,"Jul 21, 2020",$1.29,100,129,8184,"Jul 22, 2020, 04:47 PM",buy,1.2649999856948853,1.4298750007152556
110,RCG,STAHL MURRAY,President and CEO,"Jul 21, 2020",$1.29,50,64,8084,"Jul 22, 2020, 04:47 PM",buy,1.2649999856948853,1.4298750007152556
111,AUBN,HOUSEL DAVID E,Director,"Jul 22, 2020",$62.70,17,1066,5246,"Jul 22, 2020, 04:42 PM",buy,46.970001220703125,48.504350137710574
112,PAND,"RA CAPITAL MANAGEMENT, L.P.",10% Owner,"Jul 21, 2020",$18.00,361111,6499998,1770023,"Jul 22, 2020, 04:30 PM",buy,17.850000381469727,17.924999872843426
113,AUBN,ANDRUS TERRY W,Director,"Jul 22, 2020",$62.80,22,1382,3586,"Jul 22, 2020, 04:29 PM",buy,46.970001220703125,48.504350137710574
114,HCAP,Jolson Joseph A,Chief Executive Officer,"Jul 22, 2020",$4.00,2000,8000,853747,"Jul 22, 2020, 04:26 PM",buy,4.050000190734863,6.724500005245209
115,HCAP,Jolson Joseph A,Chief Executive Officer,"Jul 21, 2020",$3.99,3474,13861,851747,"Jul 22, 2020, 04:26 PM",buy,4.050000190734863,6.724500005245209
116,HCAP,Jolson Joseph A,Chief Executive Officer,"Jul 20, 2020",$3.99,8909,35547,848273,"Jul 22, 2020, 04:26 PM",buy,4.050000190734863,6.724500005245209
117,ALXO,"LSV Associates, LLC",10% Owner,"Jul 21, 2020",$19.00,400000,7600000,378000,"Jul 22, 2020, 04:18 PM",buy,30.25,30.068333625793457
118,PAND,GLAXOSMITHKLINE PLC,Director,"Jul 21, 2020",$18.00,361111,6499998,2248304,"Jul 22, 2020, 04:18 PM",buy,17.850000381469727,17.924999872843426
119,MPB,SPARKS DAVID E,Director,"Mar 12, 2020",$17.38,2000,34760,10572,"Jul 22, 2020, 02:35 PM",buy,18.649999618530273,22.539599962234497
120,TPL,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,"Jul 21, 2020",$582.00,12,6984,282823,"Jul 22, 2020, 11:21 AM",buy,560.02001953125,618.8715007019043
121,RZLT,"HANDOK, INC.",10% Owner,"Jul 21, 2020",$0.25,250000,63150,93277587,"Jul 22, 2020, 10:25 AM",buy,0.3199999928474426,0.11643000010401011
122,CZNC,Lehman Terry L,Director,"Jul 21, 2020",$19.20,1000,19198,14259,"Jul 22, 2020, 09:18 AM",buy,18.600000381469727,22.654449968338014
123,EVF,"Saba Capital Management, L.P.",10% Owner,"Jul 21, 2020",$5.40,99102,535151,6158799,"Jul 22, 2020, 08:54 AM",buy,5.510000228881836,5.720899987220764
124,EVF,"Saba Capital Management, L.P.",10% Owner,"Jul 20, 2020",$5.35,50000,267500,6059697,"Jul 22, 2020, 08:54 AM",buy,5.510000228881836,5.720899987220764
125,ALXO,Lettmann Jason,Director,"Jul 21, 2020",$19.00,400000,7600000,378000,"Jul 21, 2020, 09:31 PM",buy,30.25,30.068333625793457
126,ALXO,Adelman Robert J,10% Owner,"Jul 21, 2020",$19.00,3000,57000,99406,"Jul 21, 2020, 09:29 PM",buy,30.25,30.068333625793457
127,ALXO,Adelman Robert J,10% Owner,"Jul 21, 2020",$19.00,850000,16150000,5268325,"Jul 21, 2020, 09:29 PM",buy,30.25,30.068333625793457
128,ALXO,"Vivo Capital IX, LLC",10% Owner,"Jul 21, 2020",$19.00,975000,18525000,789474,"Jul 21, 2020, 08:25 PM",buy,30.25,30.068333625793457
129,EMR,APERTURE TECHNOLOGIES INC,Director,"Mar 11, 2008",$50.00,1000000,50000000,1000000,"Jul 21, 2020, 08:17 PM",buy,63.36000061035156,64.72115015029907
130,ALXO,Graham G. Walmsley,Director,"Jul 21, 2020",$19.00,975000,18525000,975000,"Jul 21, 2020, 08:04 PM",buy,30.25,30.068333625793457
131,ALXO,Hemrajani Rekha,Director,"Jul 21, 2020",$19.00,3000,57000,3000,"Jul 21, 2020, 08:03 PM",buy,30.25,30.068333625793457
132,ALXO,GOODMAN COREY S,Director,"Jul 21, 2020",$19.00,850000,16150000,850000,"Jul 21, 2020, 08:01 PM",buy,30.25,30.068333625793457
133,ALXO,Pietzke Steffen,VP Fin & Chief Acct Officer,"Jul 21, 2020",$19.00,3000,57000,3000,"Jul 21, 2020, 07:59 PM",buy,30.25,30.068333625793457
134,ALXO,GARCIA PETER S,Chief Financial Officer,"Jul 21, 2020",$19.00,3000,57000,3000,"Jul 21, 2020, 07:57 PM",buy,30.25,30.068333625793457
135,PAND,"Polaris Partners GP VIII, L.L.C.",10% Owner,"Jul 21, 2020",$18.00,36111,649998,3090801,"Jul 21, 2020, 07:51 PM",buy,17.850000381469727,17.924999872843426
136,PAND,"Boxer Capital, LLC",10% Owner,"Jul 21, 2020",$18.00,722222,12999996,2107513,"Jul 21, 2020, 07:49 PM",buy,17.850000381469727,17.924999872843426
137,PAND,Carroll Jill,Director,"Jul 21, 2020",$18.00,361111,6499998,2248304,"Jul 21, 2020, 07:47 PM",buy,17.850000381469727,17.924999872843426
138,PAND,Crane Alan L,Director,"Jul 21, 2020",$18.00,14000,252000,84158,"Jul 21, 2020, 07:44 PM",buy,17.850000381469727,17.924999872843426
139,PAND,Crane Alan L,Director,"Jul 21, 2020",$18.00,36111,649998,3090801,"Jul 21, 2020, 07:44 PM",buy,17.850000381469727,17.924999872843426
140,PAND,Fuglesang Christopher,Director,"Jul 21, 2020",$18.00,722222,12999996,2600773,"Jul 21, 2020, 07:44 PM",buy,17.850000381469727,17.924999872843426
141,PAND,Becker Daniel J.,Director,"Jul 21, 2020",$18.00,722222,12999996,2600773,"Jul 21, 2020, 07:39 PM",buy,17.850000381469727,17.924999872843426
142,PAND,Becker Daniel J.,Director,"Jul 21, 2020",$18.00,1000,18000,1000,"Jul 21, 2020, 07:39 PM",buy,17.850000381469727,17.924999872843426
143,PAND,Goyal Vikas,See Remarks,"Jul 21, 2020",$18.00,1450,26100,87764,"Jul 21, 2020, 07:39 PM",buy,17.850000381469727,17.924999872843426
144,PAND,Kakkar Rahul,Chief Executive Officer,"Jul 21, 2020",$18.00,14000,252000,14000,"Jul 21, 2020, 07:35 PM",buy,17.850000381469727,17.924999872843426
145,PAND,Sundy John,Chief Medical Officer,"Jul 21, 2020",$18.00,2000,36000,115826,"Jul 21, 2020, 07:33 PM",buy,17.850000381469727,17.924999872843426
146,PAND,Stagliano Nancy,Director,"Jul 21, 2020",$18.00,1000,18000,1000,"Jul 21, 2020, 07:33 PM",buy,17.850000381469727,17.924999872843426
147,PAND,Viney Joanne L.,See Remarks,"Jul 21, 2020",$18.00,1200,21600,1200,"Jul 21, 2020, 07:32 PM",buy,17.850000381469727,17.924999872843426
148,PAND,Frail Donald,Director,"Jul 21, 2020",$18.00,10000,180000,61113,"Jul 21, 2020, 07:29 PM",buy,17.850000381469727,17.924999872843426
149,PAND,Larson Eric D,"Vice President, Finance","Jul 21, 2020",$18.00,600,10800,22125,"Jul 21, 2020, 07:28 PM",buy,17.850000381469727,17.924999872843426
150,RLAY,Patel Sanjiv,President and CEO,"Jul 20, 2020",$20.00,25000,500000,403082,"Jul 21, 2020, 07:20 PM",buy,33.20000076293945,38.945714133126394
151,RLAY,Murcko Mark,Director,"Jul 20, 2020",$20.00,25000,500000,1021952,"Jul 21, 2020, 07:19 PM",buy,33.20000076293945,38.945714133126394
152,RLAY,Rubin Jami,Director,"Jul 20, 2020",$20.00,25000,500000,25000,"Jul 21, 2020, 07:17 PM",buy,33.20000076293945,38.945714133126394
153,RLAY,INGRAM DOUGLAS S,Director,"Jul 20, 2020",$20.00,25000,500000,25000,"Jul 21, 2020, 07:15 PM",buy,33.20000076293945,38.945714133126394
154,RLAY,Adams Brian,General Counsel,"Jul 20, 2020",$20.00,10000,200000,10000,"Jul 21, 2020, 07:15 PM",buy,33.20000076293945,38.945714133126394
155,APEN,McGaughy R Kent Jr,Director,"Jul 17, 2020",$1.25,180000,225000,477120,"Jul 21, 2020, 06:40 PM",buy,1.7899999618530273,2.406599997282028
156,APEN,McGaughy R Kent Jr,Director,"Jul 17, 2020",$1.25,1200000,1500000,1707208,"Jul 21, 2020, 06:40 PM",buy,1.7899999618530273,2.406599997282028
157,APEN,McGaughy R Kent Jr,Director,"Jul 17, 2020",$1.25,400000,500000,415244,"Jul 21, 2020, 06:40 PM",buy,1.7899999618530273,2.406599997282028
158,APEN,CPMG Inc,10% Owner,"Jul 17, 2020",$1.25,180000,225000,477120,"Jul 21, 2020, 06:39 PM",buy,1.7899999618530273,2.406599997282028
