Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
ABDR,Ambassador Food Services Corp.,$441.0K,,,--,--
ABEC,Analytica Bio - Energy Corp,$233.4K,Information Technology,"Electronic Equipment, Instruments & Components",--,--
ABEO,Abeona Therapeutics Inc,$246.1M,Health Care,Biotechnology,--,1.5
ABEPF,VISION LITHIUM INC,$5.8M,Materials,Metals & Mining,--,0.7
ABG,"Asbury Automotive Group, Inc.",$2.0B,Consumer Discretionary,Specialty Retail,--,1.8
ABGSF,ABG SUNDIAL COLLIER ASA SHS,$149.8M,,,11.11%,0.8
ABILF,Ability Inc,$1.7M,Industrials,Aerospace & Defense,--,0.1
ABIO,Arca Biopharma Inc,$22.6M,Health Care,Biotechnology,--,3.1
ABLE,"Able Energy, Inc.",$1.5K,Energy,"Oil, Gas & Consumable Fuels",--,--
ABLT,American Biltrite Inc.,$7.7M,Materials,Chemicals,--,0.8
ABLZF,ABB LTD NAMEN AKT,$56.1B,,,3.19%,1.3
ABM,"ABM Industries, Inc.",$2.3B,Industrials,Commercial Services & Supplies,2.08%,1.2
ABMC,American Bio Medica Corporation,$25.8M,Health Care,Health Care Equipment & Supplies,--,-0.7
ABMD,"ABIOMED, Inc.",$13.3B,Health Care,Health Care Equipment & Supplies,--,1
ABML,American Battery Metals Corp,$40.6M,Materials,Metals & Mining,--,0.2
ABMT,Advanced Biomedical Technologies Inc,$18.2M,Health Care,Health Care Equipment & Supplies,--,-0.8
ABQQ,Ab International Group Corp,$296.9K,Information Technology,Software,--,--
ABR,Arbor Realty Trust Inc,$974.6M,Financials,Mortgage Real Estate Investment Trusts (REITs),13.16%,1.8
ABR-A,Arbor Realty Trust Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.30%,--
ABR-B,Arbor Realty Trust Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.18%,--
ABR-C,Arbor Realty Trust Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.54%,--
ABSCF,AB SCIENCE PARIS SHS,$427.5M,,,--,0.6
ABSR,American Business Services Inc,$.0K,,,--,--
ABSSF,AIRBOSS OF AMERICA CORP,$357.6M,Materials,Chemicals,1.33%,1.3
ABT,Abbott Laboratories,$178.0B,Health Care,Health Care Equipment & Supplies,1.44%,1
ABTI,Alterola Biotech Inc,$35.7M,Consumer Staples,Personal Products,--,--
ABTO,AB&T Financial Corporation,$1.0M,,,1.34%,0.2
ABTX,Allegiance Bancshares Inc,$495.0M,Financials,Banks,1.70%,1.3
ABUS,Arbutus Biopharma Corp,$397.6M,Health Care,Biotechnology,--,3
ABVC,American Brivision (Holding) Corp,$72.7M,,,--,--
ABVG,Affinity Beverage Group Inc,$329.9K,,,--,--
ABVN,Abv Consulting Inc,$6.9M,Industrials,Professional Services,--,--
ABWN,Airborne Wireless Network,$486.3K,Communication Services,Diversified Telecommunication Services,--,0.7
AC,Associated Capital Group Inc,$866.4M,Financials,Capital Markets,0.52%,1.3
ACA,Alda Capital Corp,$2.1B,Industrials,Construction & Engineering,0.46%,--
ACAD,ACADIA Pharmaceuticals Inc.,$6.8B,Health Care,Biotechnology,--,1.7
ACAM,Acamar Partners Acquisition Corp,$394.2M,,,--,--
ACAN,Americann Inc,$13.6M,Health Care,Pharmaceuticals,--,-0.6
ACAZF,ACADIAN TIMBER CORP,$196.6M,Materials,Paper & Forest Products,7.39%,0.9
ACBD,Annabidiol Corp,$22.0M,,,--,--
ACBI,Atlantic Capital Bancshares Inc,$240.8M,Financials,Banks,--,1
ACBM,ACRO Biomedical Co Ltd,$93.1M,Health Care,Health Care Providers & Services,--,--
ACC,"American Campus Communities, Inc.",$4.7B,Real Estate,Equity Real Estate Investment Trusts (REITs),5.41%,1
ACCA,Acacia Diversified Holdings Inc,$1.4M,Health Care,Pharmaceuticals,--,-1.7
ACCD,Accolade Inc,$1.5B,,,--,--
ACCO,ACCO Brands Corporation,$661.2M,Industrials,Commercial Services & Supplies,3.79%,2.1
ACCR,Access-Power & Co Inc,$750.0K,,,--,--
ACEHF,ACE HARDWARE INDONESIA TBK PT SHS,$1.7B,,,--,1.1
ACEL,Accel Entertainment Inc,$689.4M,,,--,--
ACER,Acer Therapeutics Inc,$33.5M,Health Care,Pharmaceuticals,--,1.8
ACEZ,Ariel Clean Energy Inc,$6.8M,,,--,0.2
ACFN,Acorn Energy Inc,$9.3M,Information Technology,"Electronic Equipment, Instruments & Components",--,1.8
ACGBF,AGRICULTURAL BANK OF CHINA SHS -H -,$11.1B,,,--,0.4
ACGI,Amacore Group Inc,$314.4K,Health Care,Health Care Providers & Services,--,4.7
ACGJ,ACI Global Corp.,$.0K,,,--,--
ACGL,Arch Capital Group Ltd.,$12.6B,Financials,Insurance,--,0.8
ACGPF,ACCELL GROUP NV HEERENVEEN SHS,$652.4M,,,2.29%,1.4
ACGX,Alliance Creative Group Inc,$120.5K,Materials,Containers & Packaging,--,3.8
ACGYF,SUBSEA 7 S A SHS,$2.2B,,,2.39%,2
ACH,Aluminum Corp. of China Limited (ADR),$1.0B,Materials,Metals & Mining,--,1.2
ACHC,Acadia Healthcare Company Inc,$2.6B,Health Care,Health Care Providers & Services,--,1.4
ACHV,Achieve Life Sciences Inc,$21.4M,Health Care,Biotechnology,--,1.9
ACI,Albertsons Companies Inc,$7.7B,Consumer Staples,Food & Staples Retailing,--,--
ACIA,"Acacia Communications, Inc.",$2.8B,Information Technology,Communications Equipment,--,0.9
ACIU,AC Immune SA,$481.5M,Health Care,Biotechnology,--,0.5
ACIW,ACI Worldwide Inc,$3.2B,Information Technology,Software,--,1.3
ACLLF,ATCO LTD  -CL I,$3.1B,Utilities,Multi-Utilities,4.22%,0.8
ACLS,Axcelis Technologies Inc,$932.7M,Information Technology,Semiconductors & Semiconductor Equipment,--,1.4
ACM,Aecom,$5.9B,Industrials,Construction & Engineering,--,1.7
ACMB,Agro Capital Management Corp,$15.9M,,,--,--
ACMC,American Church Mortgage Company,$2.5M,,,2.67%,0.2
ACMR,ACM Research Inc,$1.6B,Information Technology,Semiconductors & Semiconductor Equipment,--,--
ACMT,ACMAT CORP  -CL A,$9.7M,Financials,Insurance,--,0
ACMTA,ACMAT Corporation,$24.7M,Financials,Insurance,--,0
ACN,Accenture Plc,$147.5B,Information Technology,IT Services,1.43%,1
ACNB,ACNB Corporation,$199.6M,Financials,Banks,4.39%,0
ACNI,"American Community Newspapers, Inc.",$29.3K,Communication Services,Media,--,2.8
ACNV,Accelera Innovations Inc,$268.7K,,,--,2.4
ACOPF,A2 MILK CO LTD SHS,$10.3B,,,--,0.9
ACOR,Acorda Therapeutics Inc,$38.8M,Health Care,Biotechnology,--,1.6
ACOSF,ARCHOS ACT NOM,$8.7M,,,--,0.9
ACP,Aberdeen Income Credit Strategies Fund,$170.5M,,,14.65%,1.1
ACPS,AC Partners Inc,$102.7M,Industrials,Building Products,--,--
ACRB,Asia Carbon Industries Inc,$173.8K,Materials,Chemicals,--,-4.3
ACRE,Ares Commercial Real Estate Corp,$298.3M,Financials,Mortgage Real Estate Investment Trusts (REITs),14.67%,1.2
ACRL,Atacama Resources International Inc,$9.5M,,,--,1.8
ACRS,Aclaris Therapeutics Inc,$93.4M,Health Care,Pharmaceuticals,--,1.4
ACRX,AcelRx Pharmaceuticals Inc,$91.3M,Health Care,Pharmaceuticals,--,1.7
ACSEF,ACS Motion Control Ltd.,$35.4M,Information Technology,"Electronic Equipment, Instruments & Components",--,--
ACST,ACASTI PHARMA INC,$61.9M,Health Care,Pharmaceuticals,--,1.3
ACSYF,ACCSYS TECHNOLOGIES PLC SHS NEW,$161.0M,,,--,1
ACTG,Acacia Research Corp,$196.8M,Industrials,Professional Services,--,0.6
ACTL,Artec Global Media Inc,$139.8K,Communication Services,Media,--,-0.3
ACU,Acme United Corporation,$74.5M,Industrials,Commercial Services & Supplies,2.03%,1.1
ACUR,"Acura Pharmaceuticals, Inc.",$6.5M,Health Care,Pharmaceuticals,--,1.2
ACUS,"Acusphere, Inc.",$123.8K,Health Care,Pharmaceuticals,--,0
ACV,Allianzgi Diversified Incm and Cnvrtb Fd,$257.1M,,,7.93%,1.4
ACWRF,ACCELEWARE LTD,$12.8M,Information Technology,Software,--,1.7
ACY,AeroCentury Corp.,$4.6M,Industrials,Trading Companies & Distributors,--,1.9
ADAC,Adama Technologies Corp,$110.1K,,,--,2.8
ADAD,Adaiah Distribution Inc,$1.6K,,,--,1.3
ADAP,Adaptimmune Therapeutics PLC - ADR,$1.4B,Health Care,Biotechnology,--,2.3
ADBCF,ADBRI LTD SHS,$1.4B,,,1.46%,1.4
ADBE,Adobe Inc,$207.2B,Information Technology,Software,--,0.9
ADBN,Americana Distribution Inc,$.0K,Communication Services,Media,--,--
ADC,Agree Realty Corporation,$3.4B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.72%,0.3
ADCT,ADC Therapeutics SA,$3.4B,Health Care,Biotechnology,--,--
ADDXF,ADDEX THERAPEUTICS LTD SHS COM,$44.0M,,,--,0.4
ADEC,Alternative Energy Development Corp,$6.7K,Consumer Discretionary,Auto Components,--,--
ADES,Advanced Emissions Solutions Inc,$85.1M,Materials,Chemicals,--,0.8
ADFJF,ADF GROUP INC,$11.3M,Materials,Metals & Mining,2.32%,1.3
ADFS,American Defense Systems Inc,$7.7M,Industrials,Aerospace & Defense,--,1.1
ADGL,AllDigital Holdings Inc,$137.7K,Information Technology,Software,--,--
ADGO,Advantego Corporation,$142.1K,Information Technology,Software,--,3
ADGS,ADGS Advisory Inc,$53.6M,Industrials,Professional Services,--,--
ADHC,American Diversified Holdings Corp,$1.2M,Health Care,Health Care Technology,--,2.1
ADHG,Ando Holdings Ltd,$18.0M,,,--,--
ADHLF,APPLIED DEVELOPMENT HLDGS LTD SHS,$30.1M,,,--,0.6
ADI,"Analog Devices, Inc.",$41.3B,Information Technology,Semiconductors & Semiconductor Equipment,2.18%,1.3
ADIL,Adial Pharmaceuticals Inc,$19.0M,Health Care,Pharmaceuticals,--,--
ADIMF,ASAHI DIAMOND INDUSTRIAL CO ORD,$334.2M,,,--,1.3
ADLI,"American Medical Technologies, Inc.",$28.1K,Health Care,Health Care Equipment & Supplies,--,-1.5
ADM,Archer-Daniels-Midland Co,$23.4B,Consumer Staples,Food Products,3.50%,0.9
ADMA,ADMA Biologics Inc,$256.4M,Health Care,Biotechnology,--,2
ADMG,Adamant DRI Processing&Minerals Group,$452.9K,,,--,3.5
ADMP,Adamis Pharmaceuticals Corp,$76.1M,Health Care,Pharmaceuticals,--,2.4
ADMQ,Adm Endeavors Inc,$4.6M,,,--,--
ADMS,Adamas Pharmaceuticals Inc,$73.5M,Health Care,Biotechnology,--,1.8
ADMT,"ADM Tronics Unlimited, Inc.",$9.5M,Materials,Chemicals,--,-0.2
ADMV,Adamas Ventures Inc,--,,,--,--
ADNT,Adient PLC,$1.7B,Consumer Discretionary,Auto Components,--,3.6
ADNY,Adino Energy Corp,$343.8K,Energy,"Oil, Gas & Consumable Fuels",--,0.7
ADOB,Adorbs Inc,--,,,--,--
ADOM,Adomani Inc,$18.7M,Consumer Discretionary,Auto Components,--,--
ADP,Automatic Data Processing Inc,$63.1B,Information Technology,IT Services,2.46%,0.8
ADPAJ,Adelphia Recovery Trust,$72.3K,,,--,--
ADPT,Adaptive Biotechnologies Corp,$5.0B,Health Care,Life Sciences Tools & Services,--,--
ADPXF,AUDIO PIXELS HOLDINGS LTD SHS,$449.7M,,,--,1.6
ADRNY,Koninklijke Ahold Delhaize NV (ADR),$31.0B,Consumer Staples,Food & Staples Retailing,3.42%,0.2
ADRO,Aduro BioTech Inc,$223.9M,Health Care,Biotechnology,--,0.4
ADRZF,ANDRITZ AG AKT,$3.7B,,,1.59%,0.8
ADS,Alliance Data Systems Corporation,$2.1B,Information Technology,IT Services,1.97%,2.5
ADSK,"Autodesk, Inc.",$52.0B,Information Technology,Software,--,1.6
ADST,"AdStar, Inc.",$6.1K,Communication Services,Interactive Media & Services,--,--
ADSV,"Allied Security Innovations, Inc.",$370.1K,Industrials,Commercial Services & Supplies,--,6
ADSW,Advanced Disposal Services Inc,$2.7B,Industrials,Commercial Services & Supplies,--,0.3
ADT,ADT Inc,$6.1B,Industrials,Commercial Services & Supplies,1.73%,--
ADTC,Great Tahou Holdings Ltd,$384.0K,,,--,--
ADTFF,IMETAL RESOURCES INC,$3.3M,Materials,Metals & Mining,--,1.3
ADTM,Adaptive Medias Inc,$18.0K,,,--,8.6
ADTN,"ADTRAN, Inc.",$611.9M,Information Technology,Communications Equipment,2.87%,1.4
ADTR,Alliance Media Holdings Inc,$938.9K,Consumer Discretionary,Distributors,--,1
ADTTF,Advantest Corp (Parent),$9.8B,,,--,1.5
ADTX,ADiTx Therapeutics Inc,$19.9M,,,--,--
ADUS,Addus Homecare Corporation,$1.5B,Health Care,Health Care Providers & Services,--,0.5
ADVC,Advant-E Corporation,$270.3M,Information Technology,Software,--,-1
ADVM,Adverum Biotechnologies Inc,$1.4B,Health Care,Biotechnology,--,2.1
ADVOF,ADVA OPTICAL NETWORKING SE SHS,$376.4M,,,--,1.2
ADVV,Adveco Group Inc,$824.7M,,,--,--
ADWPF,ANDREW PELLER LTD,$219.3M,Consumer Staples,Beverages,2.54%,0.8
ADX,Adams Diversified Equity Fund Inc,$1.7B,,,1.33%,1
ADXDF,ADEX MINING INC,$67.7K,Materials,Metals & Mining,--,0.6
ADXS,"Advaxis, Inc.",$37.0M,Health Care,Biotechnology,--,3.5
ADYX,Adynxx Inc,$2.6M,Health Care,Biotechnology,--,2.4
AE,Adams Resources & Energy Inc,$92.1M,Energy,"Oil, Gas & Consumable Fuels",4.19%,1.1
AEDC,American Energy Development Corp,$10.2K,Energy,"Oil, Gas & Consumable Fuels",--,--
AEE,Ameren Corp,$19.9B,Utilities,Multi-Utilities,2.47%,0.3
AEEI,"American Environmental Energy, Inc.",$9.0M,Utilities,Independent Power & Renewable Electricity Producers,--,-1
AEEX,Asia Equity Exchange Group Inc,$41.6M,Financials,Capital Markets,--,0
AEF,Aberdeen Emerging Mrkts Eqty Incm Fd Inc,$323.3M,,,2.91%,0.9
AEG,AEGON N.V. (ADR),$6.3B,Financials,Insurance,--,1.4
AEGG,American Energy Group Ltd,$1.5M,Energy,"Oil, Gas & Consumable Fuels",--,0.7
AEGN,Aegion Corp,$502.0M,Industrials,Construction & Engineering,--,1.3
AEGY,Alternative Energy Partners Inc,$.0K,,,--,--
AEHR,Aehr Test Systems,$50.4M,Information Technology,Semiconductors & Semiconductor Equipment,--,0.7
AEIS,"Advanced Energy Industries, Inc.",$2.8B,Information Technology,Semiconductors & Semiconductor Equipment,--,1.6
AEL,American Equity Investment Life Holding,$2.4B,Financials,Insurance,1.15%,1.8
AELTF,ADACEL TECHNOLOGIES LIMITED SHS,$29.6M,,,--,1.5
AEM,Agnico Eagle Mines Ltd (USA),$16.6B,Materials,Metals & Mining,1.14%,0.9
AEMD,"Aethlon Medical, Inc.",$25.2M,Health Care,Health Care Equipment & Supplies,--,0.7
AENG,Advanced Engine Technologies Inc,$23.7K,,,--,1.3
AEO,American Eagle Outfitters Inc,$1.7B,Consumer Discretionary,Specialty Retail,5.45%,1.1
AEOJF,AEON FINL SVC CO LTD SHS,$2.2B,,,--,1.3
AEP,American Electric Power Company Inc,$44.0B,Utilities,Electric Utilities,3.14%,0.4
AEPLF,ANGLO EASTERN PLANTATIONS PLC ORD,$225.9M,,,0.09%,0.6
AEPT,American Energy Partners Inc,$358.8K,,,--,4.2
AER,AerCap Holdings N.V.,$3.8B,Industrials,Trading Companies & Distributors,--,2.1
AERG,"Applied Energetics, Inc.",$70.3M,Industrials,Aerospace & Defense,--,2.8
AERI,Aerie Pharmaceuticals Inc,$585.7M,Health Care,Pharmaceuticals,--,1
AERN,"AER Energy Resources, Inc",$.0K,,,--,--
AERO,"AeroGrow International, Inc.",$111.6M,Consumer Discretionary,Household Durables,--,1.7
AES,AES Corp,$10.4B,Utilities,Independent Power & Renewable Electricity Producers,3.67%,1
AESE,Allied Esports Entertainment Inc,$59.1M,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
AEXE,AIM Energy Inc,$218.6K,Materials,Metals & Mining,--,2.1
AEXL,Axelerex Corp.,--,,,--,--
AEY,"ADDvantage Technologies Group, Inc.",$25.2M,Information Technology,"Electronic Equipment, Instruments & Components",--,0
AEYE,Audioeye  Inc,$135.9M,Information Technology,Software,--,2
AEZS,AEterna Zentaris Inc. (USA),$11.5M,Health Care,Biotechnology,--,2.3
AFAP,AFA Protective Systems Inc,$30.6M,,,1.14%,--
AFB,AllianceBernstein Natnl Muncpl Incm Fnd.,$395.2M,,,4.66%,0.2
AFBG,"American Fiber Green Products, Inc.",$412.4K,,,--,1.4
AFFL,Affiliated Resources Corp,$1.7K,,,--,--
AFFY,"Affymax, Inc.",$1.1M,,,--,2.3
AFG,American Financial Group Inc,$5.7B,Financials,Insurance,2.87%,0.8
AFGVF,AGFA GEVAERT NV SHS,$635.8M,,,--,--
AFH,Atlas Financial Holdings Inc,$6.9M,Financials,Insurance,--,1.3
AFI,Armstrong Flooring Inc,$64.1M,Industrials,Building Products,--,2.8
AFIN,American Finance Trust Inc,$773.8M,Real Estate,Equity Real Estate Investment Trusts (REITs),11.79%,--
AFL,AFLAC Incorporated,$26.6B,Financials,Insurance,3.06%,0.9
AFLYY,Air France KLM SA (ADR),$2.0B,Industrials,Airlines,--,0.9
AFMCF,AFRICAN METALS CORP,$1.4K,Materials,Metals & Mining,--,--
AFMD,Affimed NV,$345.5M,Health Care,Biotechnology,--,2.8
AFMJF,ALPHAMIN RESOURCES CORP,$165.3M,Materials,Metals & Mining,--,0.6
AFML,Aerofoam Metals Inc.,$91.9K,,,--,--
AFOM,All for One Media Corp,$111.9K,,,--,0.6
AFPW,Alumifuel Power Corp,$222.9K,Materials,Chemicals,--,--
AFRAF,AIR FRANCE KLM SHS,$3.0B,,,--,0.9
AFT,Apollo Senior Floating Rate Fund Inc,$191.7M,,,6.40%,0.6
AFTM,Aftermaster Inc,$1.1M,Consumer Discretionary,Leisure Products,--,-1.3
AFYA,Afya Ltd,$2.4B,Consumer Discretionary,Diversified Consumer Services,--,--
AFYG,Affinity Gold Corp.,$660.9K,,,--,1.6
AG,FIRST MAJESTIC SILVER CORP,$2.8B,Materials,Metals & Mining,--,1.5
AGCBF,AMARILLO GOLD CORP,$48.3M,Materials,Metals & Mining,--,1.8
AGCCF,GENSOURCE POTASH CORP,$46.4M,Materials,Chemicals,--,1.3
AGCO,AGCO Corporation,$4.8B,Industrials,Machinery,1.01%,1.2
AGCZ,Andes Gold Corp.,$188.1K,,,--,0.8
AGD,Alpine Global Dynamic Dividend Fund,$114.6M,,,8.51%,1.2
AGE,AgeX Therapeutics Inc,$50.1M,Health Care,Biotechnology,--,--
AGEN,Agenus Inc,$577.2M,Health Care,Biotechnology,--,2
AGESF,AGEAS ACT NOM,$7.1B,,,0.83%,--
AGFMF,AGF MANAGEMENT LTD  -CL B,$299.0M,Financials,Capital Markets,6.20%,2.3
AGFS,AgroFresh Solutions Inc,$124.4M,Materials,Chemicals,--,1.1
AGGFF,AFRICAN GOLD GROUP INC,$19.2M,Materials,Metals & Mining,--,2.8
AGGG,Antilia Group Corp,$107.3K,,,--,--
AGGX,Angiogenex Inc,$3.3M,,,--,1.4
AGHC,Aeon Global Health Corp,$594.9K,Health Care,Health Care Providers & Services,--,0.3
AGI,ALAMOS GOLD INC,$4.2B,Materials,Metals & Mining,0.54%,1.4
AGIN,American Graphite Technologies Inc,$557.3K,Materials,Metals & Mining,--,-2.5
AGIO,Agios Pharmaceuticals Inc,$3.6B,Health Care,Biotechnology,--,2.1
AGLE,Aeglea Bio Therapeutics Inc,$333.6M,Health Care,Biotechnology,--,2
AGM,Federal Agricultural Mortgage Corp.,$566.0M,Financials,Thrifts & Mortgage Finance,5.29%,1.1
AGM-A,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,5.65%,--
AGM-C,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,5.71%,--
AGM-D,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,5.41%,--
AGM-E,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,3.47%,--
AGM.A,FEDERAL AGRICULTURE MTG CP,$88.1M,Financials,Thrifts & Mortgage Finance,5.56%,1.1
AGMH,AGM Group Holdings Inc,$397.0M,Financials,Capital Markets,--,--
AGMJF,ALGOMA CENTRAL CORP,$286.8M,Industrials,Marine,4.54%,1
AGNC,AGNC Investment Corp,$7.6B,Financials,Mortgage Real Estate Investment Trusts (REITs),10.58%,0.9
AGO,Assured Guaranty Ltd.,$2.0B,Financials,Insurance,3.43%,1.2
AGPIF,ANGLO PACIFIC GROUP PLC SHS,$303.8M,,,6.81%,1.4
AGPL,Apple Green Holding Inc,$194.1M,,,--,--
AGR,Avangrid Inc,$15.2B,Utilities,Electric Utilities,3.65%,0.4
AGRDF,MINNOVA CORP,$4.8M,Materials,Metals & Mining,--,-0.1
AGREF,ARGONAUT RESOURCES NL SHS,$3.0M,,,--,1.8
AGRIP,Agribank FCB,$299.1M,,,5.75%,--
AGRO,Adecoagro SA,$565.5M,Consumer Staples,Food Products,--,1.1
AGRS,"Agristar, Inc.",$60.0K,,,--,0
AGRUF,AF GRUPPEN ASA SHS A,$1.9B,,,5.35%,0.6
AGRX,Agile Therapeutics Inc,$220.2M,Health Care,Pharmaceuticals,--,1.4
AGS,Playags Inc,$121.8M,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,--
AGSO,"AgriSolar Solutions, Inc.",$223.4K,Industrials,Machinery,--,-0.5
AGTAF,AGRITERRA LTD ORD,$1.1M,,,--,-0.4
AGTC,Applied Genetic Technologies Corp,$149.2M,Health Care,Biotechnology,--,2.7
AGTK,Argitek Holdings Inc,$995.4K,Consumer Discretionary,Distributors,--,-1.1
AGTT,Angstrom Technologies Inc,$594.9K,,,--,1.8
AGTX,Agentix Corp,$65.7M,,,--,--
AGX,"Argan, Inc.",$720.1M,Industrials,Construction & Engineering,2.18%,0.7
AGXKF,ANGLO ASIAN MINING PLC SHS,$201.3M,,,4.55%,1.7
AGYS,"Agilysys, Inc.",$426.2M,Information Technology,Software,--,0.9
AGYTF,ALLERGY THERAPEUTICS PLC WORTH SHS,$102.0M,,,--,1.3
AHAD,Alphacom Holdings Inc,$1.2K,,,--,--
AHAG,Alpha Technologies Group Inc,$302.2K,,,--,1.9
AHC,A. H. Belo Corp,$34.9M,Communication Services,Media,9.30%,0.5
AHCO,Adapthealth Corp,$1.1B,Health Care,Health Care Providers & Services,--,--
AHCPD,Changsheng International Group Ltd,$10.1M,,,--,-0.1
AHEXF,ADECCO GROUP AG ORD,$8.2B,,,5.14%,1.4
AHFCF,FLOW CAP CORP COM NEW,$7.4M,Financials,Capital Markets,--,0.7
AHFD,Active Health Foods Inc,$.5K,Consumer Staples,Food Products,--,--
AHH,Armada Hoffler Properties Inc,$546.3M,Real Estate,Equity Real Estate Investment Trusts (REITs),9.03%,0.7
AHH-A,Armada Hoffler Properties Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),7.15%,--
AHII,Fyolo Technology Corp,$1.1K,Consumer Staples,Tobacco,--,--
AHIX,ALUF Holdings Inc,$801.7K,,,--,-0.2
AHKSF,ASAHI KASEI CORP ORD,$10.9B,,,4.02%,1.2
AHL-C,Aspen Insurance Holdings Ltd,--,,,5.74%,--
AHL-D,Aspen Insurance Holdings Ltd,--,,,5.84%,--
AHNMF,ARCHON MINERALS LTD,$7.3M,Materials,Metals & Mining,--,0.2
AHNR,Athena Silver Corp,$3.7M,,,--,2.9
AHPI,Allied Healthcare Products Inc,$45.2M,Health Care,Health Care Equipment & Supplies,--,-4.7
AHROQ,AtheroNova Inc.,$70.5K,Health Care,Pharmaceuticals,--,-7.6
